epoch,avg_loss,test_mse,epoch_time_s,wall_time_s,lr
496,0.03026992,0.03020248,0.172,89.536,0.001363
497,0.03022906,0.03037304,0.171,89.714,0.001362
498,0.03035997,0.03021308,0.171,89.893,0.001361
499,0.03018728,0.03035179,0.172,90.072,0.001361
500,0.03071140,0.03066031,0.172,90.252,0.001360
501,0.03029400,0.03018279,0.171,90.430,0.001360
502,0.03032393,0.03028970,0.172,90.609,0.001359
503,0.03026396,0.03010398,0.171,90.787,0.001359
504,0.03011317,0.02997134,0.172,90.966,0.001358
505,0.03016855,0.03019152,0.173,91.149,0.001358
506,0.03010110,0.02999569,0.179,91.335,0.001357
507,0.03017559,0.03019205,0.172,91.515,0.001356
508,0.03020481,0.03006621,0.171,91.693,0.001356
509,0.03031445,0.03027293,0.171,91.871,0.001355
510,0.03064847,0.03023300,0.171,92.050,0.001355
511,0.03027649,0.03006150,0.172,92.229,0.001354
